,Prices,Classification
0,1000000.0,Medium Price
1,300000.0,Medium Price
2,1200000.0,Medium Price
3,600000.0,Medium Price
4,375000.0,Medium Price
5,263790.0,Medium Price
6,392850.0,Medium Price
7,472770.0,Medium Price
8,184500.0,Medium Price
9,800000.0,Medium Price
10,89170.0,Medium Price
11,99000.0,Medium Price
12,340000.0,Medium Price
13,230000.0,Medium Price
14,85000.0,Medium Price
15,240000.0,Medium Price
16,102500.0,Medium Price
17,127100.0,Medium Price
18,53300.0,Medium Price
19,610000.0,Medium Price
20,675000.0,Medium Price
21,378000.0,Medium Price
22,228903.0,Medium Price
23,188723.0,Medium Price
24,194053.0,Medium Price
25,190000.0,Medium Price
26,585000.0,Medium Price
27,1572000.0,High Price
28,103000.0,Medium Price
29,275000.0,Medium Price
30,307500.0,Medium Price
31,173000.0,Medium Price
32,171000.0,Medium Price
33,400000.0,Medium Price
34,170000.0,Medium Price
35,299200.0,Medium Price
36,210000.0,Medium Price
37,223000.0,Medium Price
38,350000.0,Medium Price
39,114759.0,Medium Price
40,325000.0,Medium Price
41,550000.0,Medium Price
42,2200.0,Medium Price
43,450000.0,Medium Price
44,280000.0,Medium Price
45,300000.0,Medium Price
46,320000.0,Medium Price
47,425000.0,Medium Price
48,492000.0,Medium Price
49,426635.0,Medium Price
50,943000.0,Medium Price
51,284000.0,Medium Price
52,224000.0,Medium Price
53,260000.0,Medium Price
54,224500.0,Medium Price
55,226000.0,Medium Price
56,735000.0,Medium Price
57,348500.0,Medium Price
58,280000.0,Medium Price
59,160000.0,Medium Price
60,1200.0,Medium Price
61,170400.0,Medium Price
62,30750.0,Medium Price
63,210000.0,Medium Price
64,470000.0,Medium Price
65,1800.0,Medium Price
66,350000.0,Medium Price
67,95400.0,Medium Price
68,612.0,Medium Price
69,289000.0,Medium Price
70,1744.0,Medium Price
71,900000.0,Medium Price
72,1800000.0,High Price
73,180000.0,Medium Price
74,265000.0,Medium Price
75,330000.0,Medium Price
76,375000.0,Medium Price
77,600000.0,Medium Price
78,3782000.0,Very High Price
79,16000.0,Medium Price
80,300000.0,Medium Price
81,1300000.0,Medium Price
82,170000.0,Medium Price
83,820000.0,Medium Price
84,180000.0,Medium Price
85,215000.0,Medium Price
86,1200.0,Medium Price
87,270000.0,Medium Price
88,156180.0,Medium Price
89,1491100.0,High Price
90,410000.0,Medium Price
91,1025000.0,Medium Price
92,481334.0,Medium Price
93,61500.0,Medium Price
94,3000000.0,Very High Price
95,15000000.0,Very High Price
96,195000.0,Medium Price
97,162300.0,Medium Price
98,99824.0,Medium Price
99,779.0,Medium Price
100,114800.0,Medium Price
101,123000.0,Medium Price
102,240000.0,Medium Price
103,1374000.0,Medium Price
104,600000.0,Medium Price
105,1800.0,Medium Price
106,287000.0,Medium Price
107,742000.0,Medium Price
108,451000.0,Medium Price
109,2214000.0,High Price
110,160000.0,Medium Price
111,500000.0,Medium Price
112,210000.0,Medium Price
113,275000.0,Medium Price
114,370000.0,Medium Price
115,525000.0,Medium Price
116,133560.0,Medium Price
117,114000.0,Medium Price
118,170000.0,Medium Price
119,750.0,Medium Price
120,253867.0,Medium Price
121,1157343.0,Medium Price
122,2829120.0,Very High Price
123,1362033.0,Medium Price
124,1000000.0,Medium Price
125,1500000.0,High Price
126,134400.0,Medium Price
127,395000.0,Medium Price
128,215000.0,Medium Price
129,77470.0,Medium Price
130,38590.88,Medium Price
131,45100.0,Medium Price
132,2200000.0,High Price
133,53000.0,Medium Price
134,620000.0,Medium Price
135,2000.0,Medium Price
136,108182.0,Medium Price
137,235000.0,Medium Price
138,465000.0,Medium Price
139,305000.0,Medium Price
140,400000.0,Medium Price
141,430000.0,Medium Price
142,20576.0,Medium Price
143,24690.0,Medium Price
144,393672.0,Medium Price
145,465108.0,Medium Price
146,588722.0,Medium Price
147,346242.0,Medium Price
148,126411.0,Medium Price
149,225000.0,Medium Price
150,157988.0,Medium Price
151,115200.0,Medium Price
152,69000.0,Medium Price
153,66000.0,Medium Price
154,677147.0,Medium Price
155,394965.0,Medium Price
156,261745.0,Medium Price
157,350000.0,Medium Price
158,85000.0,Medium Price
159,225000.0,Medium Price
160,2500.0,Medium Price
161,206500.0,Medium Price
162,430000.0,Medium Price
163,2260350.0,High Price
164,1273000.0,Medium Price
165,160000.0,Medium Price
166,69750.0,Medium Price
167,225000.0,Medium Price
168,175000.0,Medium Price
169,168000.0,Medium Price
170,115000.0,Medium Price
171,161200.0,Medium Price
172,233000.0,Medium Price
173,1750.0,Medium Price
174,247000.0,Medium Price
175,95120.0,Medium Price
176,278000.0,Medium Price
177,230000.0,Medium Price
178,220000.0,Medium Price
179,175000.0,Medium Price
180,431029.0,Medium Price
181,619354.0,Medium Price
182,198000.0,Medium Price
183,160000.0,Medium Price
184,68800.0,Medium Price
185,499000.0,Medium Price
186,199000.0,Medium Price
187,147200.0,Medium Price
188,116700.0,Medium Price
189,102040.0,Medium Price
190,145000.0,Medium Price
191,190000.0,Medium Price
192,184000.0,Medium Price
193,282000.0,Medium Price
194,250000.0,Medium Price
195,210000.0,Medium Price
196,300000.0,Medium Price
197,189000.0,Medium Price
198,103145.0,Medium Price
199,141185.0,Medium Price
200,269000.0,Medium Price
201,214500.0,Medium Price
202,189000.0,Medium Price
203,185000.0,Medium Price
204,290000.0,Medium Price
205,355000.0,Medium Price
206,125000.0,Medium Price
207,230000.0,Medium Price
208,185000.0,Medium Price
209,150000.0,Medium Price
210,385000.0,Medium Price
211,200000.0,Medium Price
212,180000.0,Medium Price
213,200000.0,Medium Price
214,230000.0,Medium Price
215,124689.0,Medium Price
216,124829.0,Medium Price
217,220000.0,Medium Price
218,274000.0,Medium Price
219,275500.0,Medium Price
220,240000.0,Medium Price
221,286000.0,Medium Price
222,244100.0,Medium Price
223,190000.0,Medium Price
224,195000.0,Medium Price
225,210000.0,Medium Price
226,180000.0,Medium Price
227,175000.0,Medium Price
228,165000.0,Medium Price
229,240000.0,Medium Price
230,250000.0,Medium Price
231,115000.0,Medium Price
232,127000.0,Medium Price
233,142860.0,Medium Price
234,200000.0,Medium Price
235,79647.0,Medium Price
236,94122.0,Medium Price
237,215000.0,Medium Price
238,125000.0,Medium Price
239,146000.0,Medium Price
240,135000.0,Medium Price
241,565000.0,Medium Price
242,204100.0,Medium Price
243,134700.0,Medium Price
244,290000.0,Medium Price
245,100000.0,Medium Price
246,84679.0,Medium Price
247,79429.38,Medium Price
248,190400.0,Medium Price
249,159840.0,Medium Price
250,88580.0,Medium Price
251,135000.0,Medium Price
252,97280.0,Medium Price
253,70000.0,Medium Price
254,93418.0,Medium Price
255,87320.0,Medium Price
256,154444.0,Medium Price
257,89100.0,Medium Price
258,240000.0,Medium Price
259,89360.0,Medium Price
260,120000.0,Medium Price
261,560000.0,Medium Price
262,310000.0,Medium Price
263,290000.0,Medium Price
264,319000.0,Medium Price
265,175000.0,Medium Price
266,130600.0,Medium Price
267,148000.0,Medium Price
268,147000.0,Medium Price
269,115000.0,Medium Price
270,130000.0,Medium Price
271,220000.0,Medium Price
272,268000.0,Medium Price
273,310000.0,Medium Price
