Name of Area,Mean Area,Mean m2 price,Mean Area - Total Mean,Variance
13 Calle NO,199000.0,1990.0,-6775.37,-0.0352
13 calle,147200.0,1691.95,45024.63,0.2342
Barrio Morazán,116700.0,651.96,75524.63,0.3929
Brisas del Merendon,102040.0,593.26,90184.63,0.4692
Bulevard Armenta,145000.0,1407.77,47224.63,0.2457
C. Juan Lindo,190000.0,822.87,2224.63,0.0116
Campisa,214283.0,785.704,-22058.37,-0.1148
Casa Maya Etapa II,189000.0,1453.85,3224.63,0.0168
Casa Maya IV,237500.0,1030.095,-45275.37,-0.2355
Ciudad Jaraguá,355000.0,1199.32,-162775.37,-0.8468
Col Jardines del Valle,212500.0,1152.2516666666668,-20275.37,-0.1055
Colonia Figueroa,190000.0,1857.81,2224.63,0.0116
Colonia Juan Lindo,230000.0,760.58,-37775.37,-0.1965
Colonia Trejo,156506.0,1032.3933333333334,35718.63,0.1858
Colonia Universidad,274000.0,1129.43,-81775.37,-0.4254
El Barrial,267166.6666666667,1071.02,-74942.04,-0.3899
Jardines del Valle,244100.0,697.43,-51875.37,-0.2699
La Figueroa,190000.0,2111.11,2224.63,0.0116
La Hacienda,195000.0,951.22,-2775.37,-0.0144
La Hacienda - Res. Campisa,182500.0,1002.3675000000001,9724.63,0.0506
Los Alamos,245000.0,933.125,-52775.37,-0.2746
No Data,126438.16666666667,1249.6583333333335,65786.46,0.3422
Paseo Real,215000.0,1053.92,-22775.37,-0.1185
Principal,135333.33333333334,1017.5333333333332,56891.3,0.296
Rancho El Coco,565000.0,2690.48,-372775.37,-1.9393
Rancho Tara,169400.0,1105.295,22824.63,0.1187
Residencial Campisa,128053.14875,1284.2043750000003,64171.48,0.3338
Residencial Campisa Segunda Etapa,120000.0,960.0,72224.63,0.3757
Residencial La Foresta,386666.6666666667,1274.4733333333334,-194442.04,-1.0115
Residencial La Hacienda en Campisa,319000.0,839.47,-126775.37,-0.6595
Residencial Paseo la Fuente,175000.0,908.76,17224.63,0.0896
Residencial Villas Angelina,130600.0,816.25,61624.63,0.3206
Residencial Villas Serán,148000.0,891.57,44224.63,0.2301
San Pedro Sula 21102,147000.0,1500.0,45224.63,0.2353
Sector el Carmen NE,115000.0,385.91,77224.63,0.4017
Unnamed Road,175000.0,1547.075,17224.63,0.0896
Villas Mackay,289000.0,1257.0149999999999,-96775.37,-0.5034
