Name of Area,Mean Price,Mean Price - Mean,Weight
Brisas del Merendon,102040.0,-128202.22,-0.56
Campisa,252750.0,22507.78,0.1
Casa Maya IV,185000.0,-45242.22,-0.2
Col Jardines del Valle,385000.0,154757.78,0.67
Colonia Juan Lindo,230000.0,-242.22,-0.0
Colonia Trejo,220000.0,-10242.22,-0.04
El Barrial,240000.0,9757.78,0.04
Jardines del Valle,244100.0,13857.78,0.06
La Figueroa,190000.0,-40242.22,-0.17
Los Alamos,240000.0,9757.78,0.04
Residencial Campisa,174160.0,-56082.22,-0.24
Residencial La Foresta,310000.0,79757.78,0.35
Residencial La Hacienda en Campisa,319000.0,88757.78,0.39
Residencial Villas Angelina,130600.0,-99642.22,-0.43
